stock_code,description,parent_stock_type,parent_stock_code,stock_available
STM10697-MAU-L,"Bed of Roses Babydoll Set - Mauve Large",Babydoll,STM10697,0,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG","STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-MAU-M,"Bed of Roses Babydoll Set - Mauve Medium",Babydoll,STM10697,0,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG","STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-MAU-S,"Bed of Roses Babydoll Set - Mauve Small",Babydoll,STM10697,0,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG","STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697-MAU-XL,"Bed of Roses Babydoll Set - Mauve X-Large",Babydoll,STM10697,0,"STM\10697_Black_F.JPG","STM\10697_Black_B.JPG","STM\10697_RED_F.JPG","STM\10697_RED_B2.JPG"
STM10697X-BLK-1X/2X,,Babydoll,STM10697X-BLK-1X/2X,120,"STM\10697X_Black_F.JPG","STM\10697X_Black_B.JPG"
STM10697X-BLK-3X/4X,"Bed of Roses Babydoll Set - Black 3X/4X",Babydoll,STM10697X,107,"STM\10697X_Black_F.JPG","STM\10697X_Black_B.JPG"
STM10697X-RED-1X/2X,"Bed of Roses Babydoll Set - Red 1X/2X",Babydoll,STM10697X,89,"STM\10697X_RED_F.JPG","STM\10697X_RED_B.JPG"
STM10697X-RED-3X/4X,"Bed of Roses Babydoll Set - Red 3X/4X",Babydoll,STM10697X,93,"STM\10697X_RED_F.JPG","STM\10697X_RED_B.JPG"
STM10697X-MAU-1X/2X,"Bed of Roses Babydoll Set - Mauve 1X/2X",Babydoll,STM10697X,0,"STM\10697X_Black_F.JPG","STM\10697X_Black_B.JPG","STM\10697X_RED_F.JPG","STM\10697X_RED_B.JPG"
STM10697X-MAU-3X/4X,"Bed of Roses Babydoll Set - Mauve 3X/4X",Babydoll,STM10697X,0,"STM\10697X_Black_F.JPG","STM\10697X_Black_B.JPG","STM\10697X_RED_F.JPG","STM\10697X_RED_B.JPG"
STM10698-RED-XL,,"Bustiers & Corsets",STM10698-RED-XL,4,"STM\10698_RED_F.JPG","STM\10698_RED_B.JPG"
STM10698X-RED-1X/2X,,"Bustiers & Corsets",STM10698X-RED-1X/2X,87,"STM\10698X_RED_F.JPG","STM\10698X_RED_B.JPG"
STM10718-BLK-S,"Temptation Romper - Black Small",Teddy,STM10718,5,"STM\10718_BLACK_F2.JPG","STM\10718_BLACK_B.JPG"
