stock_code,description,parent_stock_type,parent_stock_code,stock_available
MP15311C-BLK-M,"Pouch Short - Black Medium",Shorts,MP15311C,1,"Male_Power\15311CBK_Censored.jpg","Male_Power\15311CBK_Back.jpg"
MP15311C-BLK-L,"Pouch Short - Black Large",Shorts,MP15311C,7,"Male_Power\15311CBK_Censored.jpg","Male_Power\15311CBK_Back.jpg"
MP15311C-BLK-XL,"Pouch Short - Black X-Large",Shorts,MP15311C,5,"Male_Power\15311CBK_Censored.jpg","Male_Power\15311CBK_Back.jpg"
MP15311C-WHT-S,"Pouch Short - White Small",Shorts,MP15311C,3,"Male_Power\15311CWH.jpg"
MP157207-GRY-XL,"Zipper Short - Grey X-Large",Shorts,MP157207,3,"Male_Power\157207GY.jpg","Male_Power\157207GY_Back.jpg"
MP157207-WNE-L,"Zipper Short - Wine Large",Shorts,MP157207,2,"Male_Power\157207WI.jpg","Male_Power\157207WI_Back.jpg"
MP157207-WNE-M,"Zipper Short - Wine Medium",Shorts,MP157207,3,"Male_Power\157207WI.jpg","Male_Power\157207WI_Back.jpg"
MP157207-WNE-S,"Zipper Short - Wine Small",Shorts,MP157207,2,"Male_Power\157207WI.jpg","Male_Power\157207WI_Back.jpg"
MP157207-WNE-XL,"Zipper Short - Wine X-Large",Shorts,MP157207,3,"Male_Power\157207WI.jpg","Male_Power\157207WI_Back.jpg"
MP157207-GRY-L,"Zipper Short - Grey Large",Shorts,MP157207,0,"Male_Power\157207GY.jpg","Male_Power\157207GY_Back.jpg"
MP157207-GRY-M,"Zipper Short - Grey Medium",Shorts,MP157207,0,"Male_Power\157207GY.jpg","Male_Power\157207GY_Back.jpg"
MP157207-GRY-S,"Zipper Short - Grey Small",Shorts,MP157207,0,"Male_Power\157207GY.jpg","Male_Power\157207GY_Back.jpg"
MP16311C-WHT-L/XL,"Double Pleasure - White Large/X-Large",Shorts,MP16311C,3,"Male_Power\16311CWH.jpg","Male_Power\16311CWH_Back.jpg"
MP16311C-BLK-L/XL,"Double Pleasure - Black Large/X-Large",Shorts,MP16311C,3,"Male_Power\16311CBK.jpg","Male_Power\16311CBK_Back.jpg"
MP16311C-BLK-S/M,"Double Pleasure - Black Small/Medium",Shorts,MP16311C,3,"Male_Power\16311CBK.jpg","Male_Power\16311CBK_Back.jpg"
MP16311C-WHT-S/M,"Double Pleasure - White Small/Medium",Shorts,MP16311C,3,"Male_Power\16311CWH.jpg","Male_Power\16311CWH_Back.jpg"
MP163194-CRL-L/XL,"Double Pleasure - Coral Large/X-Large",Shorts,MP163194,2,"Male_Power\163194CR.jpg","Male_Power\163194CR_Back.jpg"
MP163194-PNK-S/M,"Double Pleasure - Pink Small/Medium",Shorts,MP163194,2,"Male_Power\163194PK.jpg","Male_Power\163194PK_Back.jpg"
MP163194-PNK-L/XL,"Double Pleasure - Pink Large/X-Large",Shorts,MP163194,2,"Male_Power\163194PK.jpg","Male_Power\163194PK_Back.jpg"
MP163194-TRQ-S/M,"Double Pleasure - Turquoise Small/Medium",Shorts,MP163194,3,"Male_Power\163194TQ.jpg","Male_Power\163194TQ_Back'.jpg"
MP163194-CRL-S/M,"Double Pleasure - Coral Small/Medium",Shorts,MP163194,0,"Male_Power\163194CR.jpg","Male_Power\163194CR_Back.jpg"
MP163194-TRQ-L/XL,"Double Pleasure - Turquoise Large/X-Large",Shorts,MP163194,0,"Male_Power\163194TQ.jpg","Male_Power\163194TQ_Back'.jpg"
MP16411C-BLK-L/XL,"Peek-A-Buns - Black Large/X-Large",Shorts,MP16411C,2,"Male_Power\16411CBK_Censored.jpg","Male_Power\16411CBK_Back.jpg"
MP16411C-BLK-S/M,"Peek-A-Buns - Black Small/Medium",Shorts,MP16411C,1,"Male_Power\16411CBK_Censored.jpg","Male_Power\16411CBK_Back.jpg"
MP167004-BLK-S/M,"Criss Cross Short - Black Small/Medium",Shorts,MP167004,2,"Male_Power\167004BK.jpg","Male_Power\167004BK_Back.jpg"
